TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000600,호텔다다 익선,1,1,Y,,,2,,(주)온다,서울 강남구 테헤란로83길 49,서울 강남구 삼성동 152-69,4166762,1168010500,2023-05-08 21:58,1,75000,호텔 다다
e_e000600,호텔다다 익선,2,1,Y,,,2,,(주)온다,서울 강남구 테헤란로83길 49,서울 강남구 삼성동 152-69,4166762,1168010500,2023-05-08 21:24,1,56000,호텔 다다
e_e000660,소피텔 앰배서더 서울,0,1,Y,,,1,,,서울 송파구 잠실로 209,서울 송파구 신천동 29-1,,,,1,358000,
e_e000702,호텔밴드,1,2,Y,,,1,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-17 23:45,1,50000,숙박비
e_e000716,파라다이스시티,1,1,Y,,,4,,주식회사 지마켓,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2023-03-14 00:00,1,485000,파라다이스시티(파라다이스호텔/원더박스/야외수영장/호캉스)
e_e000758,신라스테이 서대문,1,1,Y,,,2,,웹투어,서울 종로구 인사동5길 29,서울 종로구 인사동 194-27,4100254,1111013600,2023-05-02 09:47,1,222640,신라스테이 서대문
e_e000809,리틀포레스트캠핑,0,5,Y,,,2,,,경기 가평군 상면 임초밤안골로 230,경기 가평군 상면 임초리 608,,,,1,278000,
e_e000898,펜션아리,0,3,Y,,,2,,,경기 가평군 북면 꽃넘이길 15-56,경기 가평군 북면 제령리 292-1,,,,1,55000,
e_e000980,로버게스트하우스,0,7,Y,,,1,,,인천 중구 신포로23번길 62,인천 중구 중앙동2가 11,,,,1,25000,
e_e000988,플렉스 레지던스,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-18 00:00,1,150000,플렉스 레지던스
e_e001035,이든호텔,1,2,N,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-27 16:53,3,65000,고양(주교)이든
e_e001109,골든튤립에버 용인호텔,1,1,Y,,,4,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-07 10:01,1,280500,골든튤립 에버 용인 호텔
e_e001231,자라섬워터파크,0,8,N,,,1,,,경기 가평군 가평읍 보납로 116-13,경기 가평군 가평읍 읍내리 316-2,,,,3,100000,
e_e001374,한화리조트 산정호수안시,1,4,Y,,,5,,한화호텔앤드리조트(주),경기 포천시 영북면 산정호수로 402,경기 포천시 영북면 산정리 454-4,3213016,4165039023,2023-05-28 00:00,1,129000,
e_e001403,스토리무인텔,1,2,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-28 14:31,1,73000,남양주 스토리 호텔
e_e001506,리버마운틴펜션,1,3,Y,,,3,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-25 09:39,3,271560,"가평 리버마운틴펜션(실내형미온수,워터슬라이드)"
e_e001524,호텔야자 구리수택점,0,2,Y,,,2,,,경기 구리시 안골로63번길 5,경기 구리시 수택동 378-10,,,,1,30000,
e_e001558,호텔넘버25 동수원사거리점,1,1,Y,,,1,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-27 23:56,1,94251,수원 넘버25 동수원사거리점
e_e001948,영종오션솔레뷰,1,11,Y,,,2,,에어비앤비,,,,,2023-05-22 20:18,1,95185,숙박비
e_e002098,호텔더디자이너스 인천점,1,1,Y,,,2,,11번가,서울 중구 한강대로 416,,2005005,1114011800,2023-06-02 22:36,1,33610,"(인천)구월 호텔 더 디자이너스 인천(인천,남동)"
e_e002104,지수물길86,0,11,Y,,,4,,,1622,,,,,5,50000,
e_e002137,인천 리베라베리움호텔,1,1,Y,,,2,,(주) 티몬 ,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-06-02 00:00,1,49540,인천 리베라 베리움 호텔
e_e002229,노원힐링캠핑장,0,5,Y,,,4,,,경기 포천시 이동면 화동로 2530,경기 포천시 이동면 도평리 469-8,,,,1,90000,
e_e002282,청평하늘캠프타운,0,5,Y,,,2,,,,경기 가평군 청평면 청평리 536-2,,,,5,40000,
e_e002298,영흥바다낚시터,0,8,Y,,,3,,,영흥로 176번길21,,,,,1,110000,
e_e002359,조은펜션,1,3,Y,,,6,,11번가,서울 중구 한강대로 416,,2005005,1114011800,2023-05-30 10:58,1,140000,(옹진 펜션)대부도(선재도)조은펜션(인천 여행)
e_e002449,리치호텔,1,1,Y,,,2,,인계동 리치-RICH,경기 수원시 팔달구 인계로166번길 48-12,경기 수원시 팔달구 인계동 1119-3,4331157,4111514100,2023-06-03 12:35,3,53000,숙박비
e_e002535,인펜션,1,3,Y,,,4,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-02 10:00,3,144000,PE파비앙 객실 앞 개별
e_e002601,테이크호텔,0,1,Y,,,2,,,경기 광명시 신기로 22,경기 광명시 일직동 512-3,,,,1,158490,
e_e002608,양평 다목적캠핑장,0,5,Y,,,4,,,경기 양평군 양동면 양서동로 224,경기 양평군 양동면 계정리 28-2,,,,3,70000,
e_e002676,화웬하우스,1,7,Y,,,3,,에어비앤비,,,,,2023-05-10 10:30,1,133260,숙박비
e_e002689,솔내음,1,5,Y,,,6,,주식회사 하비비커뮤니케이션,서울 마포구 연남로 45,서울 마포구 연남동 369-20,3113016,1144012400,2023-06-12 10:10,3,262160,카라반 D-2
e_e002776,오월호텔AVE,1,2,Y,,,1,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-22 00:00,1,57719,여주 5월 AVE
e_e002785,경기 가평군 상면 임초밤안골로 205,1,5,Y,,,2,,가평 무릉도원캠핑장,경기 가평군 상면 임초밤안골로 205,경기 가평군 상면 임초리 600-1,3216033,4182033024,2023-06-08 18:10,3,65000,숙박비
e_e003118,호텔자라,1,1,Y,,,2,,,,,,,,3,110000,숙박비
e_e003252,우리글램핑카라반,1,5,Y,,,2,,아고다,경기 포천시 이동면 금강로 6280,,3000121,4165038022,2023-06-18 00:00,1,186146,포천 우리글램핑앤카라반-숙박비
e_e003252,우리글램핑카라반,2,5,Y,,,2,,아고다,,,,,2023-06-13 18:50,1,170766,포천 우리글램핑카라반-숙박비
e_e003452,글래드 여의도,1,1,Y,,,3,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-15 13:23,1,156640,글래드 여의도 
e_e003452,글래드 여의도,2,1,Y,,,3,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-15 13:24,1,126640,글래드 여의도 
e_e003491,오커빌리지,0,3,Y,,,9,,,경기 양평군 용문면 장수길 22,경기 양평군 용문면 연수리 530,,,,1,250000,
e_e003524,땅에미소 오토캠핑장,1,5,Y,,,4,,땅에미소유기농영농조합,경기 연천군 청산면 거저울길 339,,4445002,4180032023,2023-06-18 20:06,3,50000,
e_e003533,쟈니비호텔,0,1,Y,,,2,,,경기 수원시 권선구 경수대로191번길 24-15,경기 수원시 권선구 세류동 1158-45,,,,1,70000,
e_e003566,클럽케이서울 찜질방사우나,0,11,N,,,1,,,서울 강남구 선릉로 524,서울 강남구 삼성동 140-4,,,,1,19000,
e_e003584,예하도예 게스트하우스,0,7,Y,,,2,,,서울 종로구 인사동12길 10,서울 종로구 관훈동 55-1,,,,1,65000,
e_e003621,WO호텔 서울역,0,2,Y,,,1,,,서울 용산구 청파로67길 7,서울 용산구 청파동1가 160-1,,,,1,54800,
e_e003653,호텔가덴,1,1,Y,,,1,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-21 16:00,3,80000,호텔가덴
e_e003718,한화리조트 용인베잔송,1,4,Y,,,4,,용인베잔송,경기 용인시 처인구 남사읍 봉무로153번길 79,,4409448,4146125923,2023-06-25 10:43,1,145000,
e_e003751,라마다용인호텔,1,1,Y,,,3,,라마다용인호텔,경기 용인시 처인구 포곡읍 마성로 420,,3203039,4146125027,2023-07-08 00:00,1,0,숙박비 
e_e003951,JK블라썸호텔,1,1,Y,,,2,,(주)여기어때컴퍼니  ,서울 강남구 봉은사로 479,,3122004,1168010500,,1,44934,숙박비
e_e003986,라마다용인호텔,1,1,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-31 00:00,1,38830,(경기) 라마다 바이 윈덤 용인 
e_e004052,나인트리 프리미어 로카우스 호텔 서울 용산,1,1,Y,,,2,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-04-28 00:00,1,152520,나인트리 프리미어 로카우스 호텔 서울 용산
e_e004063,세피아호텔,1,2,Y,,,1,,㈜야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-02 15:14,3,45000,남양주 세피아
e_e004150,캠프게이트,1,5,Y,,,3,,캠프게이트 청평,경기 가평군 청평면 호반로 1025-26,경기 가평군 청평면 고성리 578-19,3216049,4182032526,2023-05-24 17:57,1,179000,숙박비
e_e004197,파크마린호텔,0,1,Y,,,2,,,인천 남동구 소래역로 44,인천 남동구 논현동 677-1,,,,1,184000,
e_e004346,스카이썬호텔,1,1,Y,,,2,,(주)코디더매니저,서울 중구 퇴계로22길 11-8,서울 중구 남산동3가 19-3,4103331,1114013000,2023-06-28 15:32,1,85000,숙박비
e_e004359,연인산밸리,1,3,Y,,,6,,㈜여기어때컴퍼니 ,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-06-21 00:00,1,76500,숙박비
e_e004359,연인산밸리,2,3,Y,,,6,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-21 00:00,3,79200,PE6 page 숙박비
e_e004376,오션솔레뷰호텔,1,11,Y,,,2,,에어비앤비,,,,,2023-07-02 14:56,1,138635,숙박비
e_e004672,호텔비엔,1,1,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-07-07 22:48,1,67000,Standard 
e_e004682,스타즈호텔 독산,1,1,Y,,,1,,스타즈 호텔 독산,서울 금천구 시흥대로 315,서울 금천구 독산동 1156,2005010,1154510200,2023-07-16 15:00,1,120514,숙박비
e_e004696,뉴욕호텔,1,1,Y,,,1,,아고다,,,,,2023-07-17 00:00,1,64279,Newyork Hotel 
e_e004913,마시멜로키즈풀빌라,1,3,Y,,,8,,마시멜로키즈풀빌라,경기 가평군 조종면 운악청계로 238-44,경기 가평군 조종면 현리 2-6,3012081,4182034521,2023-07-10 13:54,1,130000,
e_e004916,퍼스트M모텔,0,2,Y,,,2,,,경기 수원시 팔달구 중부대로128번길 35,경기 수원시 팔달구 인계동 952-37,,,,1,55000,
e_e004995,누누모텔,0,2,Y,,,3,,,서울 종로구 수표로22길 6,서울 종로구 낙원동 180,,,,1,55000,
e_e005006,경기도청소년야영장,1,5,Y,,,2,,주식회사 인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-07-13 19:51,1,51480,
e_e005088,ENA 스위트호텔,1,1,Y,,,3,,아고다,서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2023-07-25 02:24,1,260613,숙박비
e_e005141,휴호텔,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-13 00:00,1,60000,논현 휴
e_e005276,밀리오레호텔 명동,0,1,Y,,,4,,,서울 중구 퇴계로 115,서울 중구 충무로1가 24-1,,,,1,152981,
e_e005297,호텔베뉴지,1,1,Y,,,2,,아고다,,,,,2023-07-25 00:00,1,73108,HOTEL Venue G
e_e005373,계양우림카이저팰리스오피스텔,0,7,Y,,,3,,,인천 계양구 아나지로 332,인천 계양구 작전동 392-12,,,,5,60000,
e_e005481,캠프게이트,1,5,Y,,,2,,캠프게이트,경기 가평군 청평면 호반로 1025-26,,3216049,4182032526,2023-07-30 00:00,1,0,스파카라반7호
e_e005531,밀리토피아호텔,1,1,Y,,,1,,밀리토피아호텔,경기 성남시 수정구 위례대로 83,경기 성남시 수정구 창곡동 566,2000034,4113110800,2023-07-25 15:03,1,134400,
e_e005531,베러댄레스트,1,1,N,,,1,,베러댄레스트,경기 성남시 수정구 위례서일로1길 19,경기 성남시 수정구 창곡동 537-3,4853107,4113110800,2023-07-25 13:31,1,22800,
e_e005581,수원호스텔,1,7,Y,,,2,,수원호스텔,경기 수원시 팔달구 행궁로 11,경기 수원시 팔달구 남창동 14,3176017,4111512300,2023-07-29 14:21,1,30000,숙박비
e_e005700,구리 365스테이,0,1,Y,,,2,,,경기 구리시 안골로 65,경기 구리시 수택동 379-12,,,,1,63300,
e_e005700,써미트호텔,0,1,Y,,,2,,,서울 중구 장충단로 198,서울 중구 장충동1가 31-7,,,,1,256614,
e_e005707,파라스파라 서울 104동,1,4,Y,,,4,,(주)정상북한산리조트(프런트),서울 강북구 삼양로 689,서울 강북구 우이동 346,3005041,1130510400,2023-08-06 11:20,1,680000,
e_e006135,준게스트하우스,1,7,Y,,,1,,준게스트하우스,서울 마포구 와우산로29나길 24-3,서울 마포구 서교동 335-36,4139467,1144012000,2023-08-01 03:48,1,14388,여성전용 8인 도미토리 
e_e006135,큐브게스트하우스,1,7,Y,,,1,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-08-01 03:49,1,20000,여성 도미토리 
e_e006158,상주호텔,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-01 00:22,3,110000,잠실넘버25 방이점;신천 상주 호텔
e_e007438,호텔지뜨,0,1,N,,,1,,,경기 시흥시 거북섬둘레길 1,경기 시흥시 정왕동 2706-12,,,,5,35000,
e_e007691,k world호텔,0,1,N,,,2,,,서울 종로구 수표로18길 28,서울 종로구 관수동 104-2,,,,1,35000,
e_e010197,해든호텔하이앤드 수원,1,1,Y,,,2,,㈜야놀자 ,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-25 00:32,3,95000,해든호텔 하이엔드 수원
