TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e002785,캠핑재료 / 양고기 / 만두 / 삼겹살 / 떡볶이,1,2,2618123567,주식회사 컬리,서울 강남구 테헤란로 133,,3122010,1168010100,2023-06-15 08:00,1,33900,[로컬식탁]대구식 납작만두; [오마뎅]진짜 부산 떡볶이; [하이포크]그때 그 삼겹; [그리츠 시그니처 램]뉴질랜드산 프렌치 랙,
e_e003106,아쿠아필드 입장권,1,2,,아쿠아필드 고양,경기 고양시 덕양구 고양대로 1955,경기 고양시 덕양구 동산동 370,2192001,4128111200,2023-06-21 00:00,1,38000,찜질스파,
e_e003252,캠핑용 식재료,1,2,2678700114,주식회사 현대직판장,서울 관악구 양녕로 49,,3005080,1162010100,2023-06-16 21:48,1,18960,농심)신라면;호박고구마;하이트진로)블랙보리;서울)비요뜨쿠키앤크림;CJ)스팸클래식,
e_e003286,티켓 스마트폰방수팩,1,2,1208800767,(주)쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-06-19 20:44,1,9410,하나디자인 스마트폰 방수팩+넥스트랩 세트,
e_e003286,티켓 스마트폰방수팩,2,2,2208796800,주식회사 스마트인피니,서울 강남구 압구정로42길 27,서울 강남구 신사동 643-22,4166523,1168010700,2023-06-19 00:00,1,56820,웅진플레이도시 워터파크 & 온천스파 하이시즌 입장권,
e_e003325,영화티켓,1,1,2838502217,더 부티크,서울 양천구 목동동로 257,서울 양천구 목동 916,3114001,1147010200,2023-07-01 16:50,1,0,관람권,
e_e003325,영화티켓,2,1,1048145690,CGV,서울 용산구 한강대로23길 55,,4106418,1117012800,2023-07-02 03:24,1,15000,관람권,
e_e003491,고기 술 햇반 모둠쌈 어묵,1,8,2068650913,트레이더스 홀세일 클럽,경기 군포시 삼성로 74,경기 군포시 부곡동 1227-1,3200026,4141010300,2023-06-30 19:22,1,169300,TS 마이워터;BBQ멀티팩세트;존쿡 캠핑파티;하이네켄 캔;고래사 꼬치어묵사각,
e_e003524,음료수 닭꼬치 만두 요구르틍,1,4,2068650913,이마트,서울 중구 청계천로 400,서울 중구 황학동 2545,3100021,1114016500,2023-07-07 21:33,1,72630,크라운과자 10개 ;노브랜드 갈비만두;NB)데리야끼닭꼬치;아삭한 쌈무;팔도 진국설렁탕면,
e_e003708,관람티켓. 오디오 도슨트,1,1,8248102515,주식회사 인터파크,서울 강남구 삼성로 512,서울 강남구 삼성동 157-1,3122005,1168010500,2023-06-29 08:43,1,17000,에드워드 호퍼: 길 위에서,
e_e003708,관람티켓. 오디오 도슨트,4,1,2118829925,(주)엠티시스템코리아,서울 강남구 강남대로122길 65,서울 강남구 논현동 158-4,4166011,1168010800,2023-06-30 10:29,1,3000,오디오도슨트,
e_e003986,에버랜드 자유이용권,0,2,,티몬,529-4 아리지빌딩,,,,,1,49680,,1168010700
e_e004061,가지튜브+물놀이용모자,1,2,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-06-22 15:46,1,49420,써니워터 특대형 가지 해먹 튜브 포함 총 2건,
e_e004117,레몬 토닉워터 소시지 닭가슴살,1,3,2068650913,(주)이마트,서울 중구 세종대로7길 37,서울 중구 순화동 53,4103202,1114016800,2023-07-16 22:01,1,60170,동원비엔나소세지;한트바커 그릴닭가슴살;티스탠다드 마이워터;코카콜라 캐나다드라이 진저엘;미국산레몬,
e_e004150,레저캠프 이용권,1,3,2208742885,주식회사야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-22 21:11,1,29700,가평 워터플레이&레저캠프(~9/30),
e_e004227,보조배터리 연결잭,0,1,,에브리데이덕정점,경기 양주시 회정로 126 양주그랑시떼빌딩,,,,,1,3000,,4163011000
e_e004359,고기류; 음료수; 햇반; 과자,0,6,,다농농수산물시장,533-1,,,,,3,132000,,1144012500
e_e004672,캐리비안베이 입장권,1,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-07-07 00:11,1,92800,[용인] 캐리비안베이 골드1시즌,
e_e004995,농구경기 티켓,0,3,,농구경기 티켓,잠실동10,,,,,1,63000,,1171010100
e_e005003,영화티켓,0,2,,Cgv 용산아이파크몰,한강대로23길 55 현대아이파크몰 6층,,,,,1,30000,,1117012800
e_e005006,음식류,1,2,2068650913,이마트,서울 강동구 고덕로 276,서울 강동구 명일동 46-4,3124001,1174010100,2023-07-21 21:41,1,67860,에그듬뿍 샌드위치;키친델리 참치김밥;메나쥬 아 트로와 버번;와틀밸리 멜론망고;게리치즈크래커,
e_e005297,국립중앙박물관 특별전시 관람권 2매,0,2,,국립중앙박물관,168-6 국립중앙박물관,,,,,1,36000,,1117013500
e_e005373,먹거리,1,3,1068307115,국군복지단 럭키마트,경기 성남시 분당구 이매로 173,,3180047,4113510600,2023-07-26 00:00,1,12390,피시스넥 스파이스맛;직화구이 왕꼬마쥐포;새우깡;오징어짬뽕컵;허니버터아몬드,
e_e005386,김밥,1,4,7161500754,유부김밥,서울 노원구 한글비석로 396,,3110009,1135010500,2023-07-22 07:35,1,16000,,
e_e005501,공연 티켓,1,2,8248102515,(주)인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2023-06-26 00:00,3,66000,관람권,
e_e006240,입장권,1,3,2018611045,웅진플레이도시,경기 부천시 조마루로 2,경기 부천시 상동 572-1,3184016,4119010900,2023-08-04 10:29,1,112370,입장권 ,
e_e006787,공연티켓,1,2,6568100044,주식회사 엘엠피이컴퍼니,서울 중구 청계천로 100,,3100021,1114011000,2023-07-05 00:02,1,20000,서울 코미디 올스타스,
e_e006873,전시회 티켓,1,1,2208802594,(주)카카오엔터테인먼트,경기 성남시 분당구 판교역로 221,,3179025,4113510900,2023-08-06 00:00,1,37000,"아이유 미디어아트 전시-순간,",
e_e006903,식품,0,2,,와마트,에메랄드로76,,,,,1,20000,,2826012200
e_e007309,입장권 구매,1,1,2208796800,(주)스마트인피니,서울 강남구 압구정로42길 27,서울 강남구 신사동 643-22,4166523,1168010700,2023-08-14 15:01,1,21750,[최대30%할인]달리&가우디 8월 핫썸머 특가,
e_e007569,애기봉평화생태공원 입장권,1,3,,애기봉평화생태공원,경기 김포시 월곶면 평화공원로 289,,3209120,4157035029,2023-08-17 19:14,1,4500,입장권 ,
e_e007622,야구장 표,0,1,,수원KT위즈파크,775,,,,,5,13000,,4111113600
e_e007691,영화 관람권,1,2,,CGV,서울 용산구 한강대로23길 55,,4106418,1117012800,2023-08-07 10:45,1,34000,관람권,
e_e007701,아쿠아리움 입장권,0,1,,롯데월드 아쿠아리움,올림픽로 300,,,,,1,22800,,1171010400
e_e007810,항정살 및 간식거리,1,3,2208160348,홈플러스,서울 강서구 화곡로 398,서울 강서구 등촌동 639-11,3005069,1150010200,2023-08-16 18:15,1,92090,동원 양반 마늘 김부각;부산우유 바나나가득;부산우유 초코가득;해태 허니버터칩;오리온 꼬북칩 초코츄러스맛,
e_e008065,서핑,0,4,,서프봉봉,경기 가평군 청평면 호반로 764,,,,,5,315000,,4182032500
e_e008154,롯데월드입장권,1,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-08-17 23:43,3,36900,[슈퍼놀이위크]롯데월드 어드벤처 8월 특가,
e_e008339,호암미술관 티켓사전예매,1,2,1358202687,(재)삼성문화재단,경기 용인시 처인구 포곡읍 에버랜드로562번길 38,,4409594,4146125026,2023-08-25 14:08,1,28000,,
e_e009084,큐패스이용권,1,4,1358504288,삼성물산(주) 에버랜드리조트,경기 용인시 처인구 포곡읍 에버랜드로 199,,3203081,4146125027,2023-08-26 12:01,1,80000,Q패스_티익스프레스 ,
e_e009557,스몹 2인 패스권,1,2,2148797600,스몹,경기 고양시 덕양구 고양대로 1955,경기 고양시 덕양구 동산동 370,2192001,4128111200,2023-08-27 23:00,1,47800,,
e_e010211,없음,5,2,1298555443,판교모드니주유소,경기 성남시 분당구 동판교로 42,경기 성남시 분당구 백현동 598,3178016,4113511000,2023-08-26 18:05,1,40000,주유비,
e_e010241,참숯가마에서 먹을 점심 재료,1,2,2068650913,이마트,서울 강동구 천호대로 1017,서울 강동구 천호동 454-1,2000008,1174010900,2023-08-26 19:19,1,36960,코카콜라 제로 레몬;대여용부직포쇼핑백;하선정쌈무(새콤);하루채소 새송이버섯;소스가 들어있는 파채,
e_e010241,참숯가마에서 먹을 점심 재료,2,2,6703300393,CU,서울 강동구 진황도로 66,,3124008,1174010900,2023-08-26 19:39,1,4000,미네랄워터;풀무원돌얼음,
e_e010488,데이캠파크 라운지 이용권,1,4,,데이캠파크,경기 의정부시 송산로1161번길 110,경기 의정부시 용현동 172-7,4343179,4115010500,2023-08-25 11:56,1,60000,라운지 1층 실내 L ,
e_e010710,에버랜드 티켓,0,2,,에버랜드,에버랜드로 199,,,,,4,84000,,4146125000
e_e010733,연극티켓,1,2,5668701096,(주)위메프,서울 강남구 영동대로 502,,2122002,1168010500,2023-08-30 13:38,1,17800,연극(택시안에서)-대학로특가,
e_e010770,고속버스 표,1,2,1388128578,(주)동양고속,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017,1165010700,2023-08-21 11:12,1,21200,버스표,
e_e010770,고속버스 표,2,2,1388128578,(주)동양고속,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017,1165010700,2023-08-24 22:54,1,15400,버스표,
e_e011436,없음,1,1,7335300334,오랑주리,경기 양주시 백석읍 기산로 423-19,경기 양주시 백석읍 기산리 414-1,3206109,4163025027,2023-08-26 11:43,1,8000,ICE 아메리카노,
e_e011436,없음,2,1,2308602656,베럴프로틴,경기 파주시 회동길 455-2,경기 파주시 문발동 639-2,4418895,4148011500,2023-08-26 13:18,1,55570,카쵸 에 페페;잭 다니엘 바비큐 포크립;치킨 시저 샐러드;블루레몬 에이드,
e_e011477,방수팩,0,2,,다이소,동백죽전대로 444,,,,,1,5000,,4146311500
e_e011493,맥주,0,1,,Gs25 금호어울림점,Gs25 금호어울림점,,,,,3,20000,,2826011000
e_e011577,ITX 예매권,1,1,3148210024,한국철도공사 ,대전 동구 중앙로 240,,3164033,3011011300,2023-08-25 00:00,3,8200,기차표,
e_e011577,ITX 예매권,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2023-08-26 00:00,3,7000,기차표,
e_e012216,티켓,1,2,,국립중앙박물관 내셔널갤러리 런던,서울 용산구 서빙고로 137,서울 용산구 용산동6가 168-6,3102004,1117013500,2023-08-30 00:00,1,9000,입장권,
e_e012223,김동하 토크 콘서트 티켓,1,1,6568100044,주식회사 엘엠피이컴퍼니,서울 중구 청계천로 100,,3100021,1114011000,2023-08-08 19:01,1,30000,'김동하스페셜'서울코미디클럽 단독쇼 입장권,
e_e012475,캐리비안베이 입장권(구명조끼 포함),1,1,1208643350,(주)플레이스엠,서울 강남구 테헤란로79길 6,서울 강남구 삼성동 144-19,4166758,1168010500,2023-08-29 19:00,1,24900,[방송중 특가] 미들 종일권+자켓대여 1개,
